RuleSet,,,org.example.rules
GOLD,A362,Laryngeal diphtheria,TRUE
GOLD,A363,Cutaneous diphtheria,TRUE
GOLD,A3681,Diphtheritic cardiomyopathy,TRUE
GOLD,A3682,Diphtheritic radiculomyelitis,TRUE
GOLD,A3683,Diphtheritic polyneuritis,TRUE
GOLD,A3684,Diphtheritic tubulo-interstitial nephropathy,TRUE
GOLD,A3685,Diphtheritic cystitis,TRUE
GOLD,A3686,Diphtheritic conjunctivitis,TRUE
GOLD,A3689,Other diphtheritic complications,TRUE
GOLD,A369,"Diphtheria, unspecified",TRUE
GOLD,A3700,Whooping cough due to Bordetella pertussis without pneumonia,TRUE
GOLD,A3701,Whooping cough due to Bordetella pertussis with pneumonia,TRUE
GOLD,A3710,Whooping cough due to Bordetella parapertussis without pneumonia,TRUE
GOLD,A3711,Whooping cough due to Bordetella parapertussis with pneumonia,TRUE
GOLD,A3780,Whooping cough due to other Bordetella species without pneumonia,TRUE
GOLD,A3781,Whooping cough due to other Bordetella species with pneumonia,TRUE
GOLD,A3790,"Whooping cough, unspecified species without pneumonia",TRUE
GOLD,A3791,"Whooping cough, unspecified species with pneumonia",TRUE
GOLD,A380,Scarlet fever with otitis media,TRUE
GOLD,A381,Scarlet fever with myocarditis,TRUE
GOLD,A388,Scarlet fever with other complications,TRUE
GOLD,A389,"Scarlet fever, uncomplicated",TRUE
GOLD,A390,Meningococcal meningitis,TRUE
GOLD,A391,Waterhouse-Friderichsen syndrome,TRUE
GOLD,A392,Acute meningococcemia,TRUE
GOLD,A393,Chronic meningococcemia,TRUE
GOLD,A394,"Meningococcemia, unspecified",TRUE
GOLD,A3950,"Meningococcal carditis, unspecified",TRUE
GOLD,A3951,Meningococcal endocarditis,TRUE
GOLD,A3952,Meningococcal myocarditis,TRUE
GOLD,A3953,Meningococcal pericarditis,TRUE
GOLD,A3981,Meningococcal encephalitis,TRUE
GOLD,A3982,Meningococcal retrobulbar neuritis,TRUE
GOLD,A3983,Meningococcal arthritis,TRUE
GOLD,A3984,Postmeningococcal arthritis,TRUE
GOLD,A3989,Other meningococcal infections,TRUE
GOLD,A399,"Meningococcal infection, unspecified",TRUE
GOLD,A400,"Sepsis due to streptococcus, group A",TRUE
GOLD,A401,"Sepsis due to streptococcus, group B",TRUE
GOLD,A403,Sepsis due to Streptococcus pneumoniae,TRUE
GOLD,A408,Other streptococcal sepsis,TRUE
GOLD,A409,"Streptococcal sepsis, unspecified",TRUE
GOLD,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,TRUE
GOLD,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,TRUE
GOLD,A411,Sepsis due to other specified staphylococcus,TRUE
GOLD,A412,Sepsis due to unspecified staphylococcus,TRUE
GOLD,A413,Sepsis due to Hemophilus influenzae,TRUE
GOLD,A414,Sepsis due to anaerobes,TRUE
GOLD,A4150,"Gram-negative sepsis, unspecified",TRUE
GOLD,A4151,Sepsis due to Escherichia coli [E. coli],TRUE
GOLD,A4152,Sepsis due to Pseudomonas,TRUE
GOLD,A4153,Sepsis due to Serratia,TRUE
GOLD,A4159,Other Gram-negative sepsis,TRUE
GOLD,A4181,Sepsis due to Enterococcus,TRUE
GOLD,A4189,Other specified sepsis,TRUE
GOLD,A419,"Sepsis, unspecified organism",TRUE
GOLD,A420,Pulmonary actinomycosis,TRUE
GOLD,A421,Abdominal actinomycosis,TRUE
GOLD,A422,Cervicofacial actinomycosis,TRUE
GOLD,A427,Actinomycotic sepsis,TRUE
GOLD,A4281,Actinomycotic meningitis,TRUE
GOLD,A4282,Actinomycotic encephalitis,TRUE
GOLD,A4289,Other forms of actinomycosis,TRUE
GOLD,A429,"Actinomycosis, unspecified",TRUE
GOLD,A430,Pulmonary nocardiosis,TRUE
GOLD,A431,Cutaneous nocardiosis,TRUE
GOLD,A438,Other forms of nocardiosis,TRUE
GOLD,A439,"Nocardiosis, unspecified",TRUE
GOLD,A440,Systemic bartonellosis,TRUE
GOLD,A441,Cutaneous and mucocutaneous bartonellosis,TRUE
GOLD,A448,Other forms of bartonellosis,TRUE
GOLD,A449,"Bartonellosis, unspecified",TRUE
GOLD,A46,Erysipelas,TRUE
GOLD,A480,Gas gangrene,TRUE
GOLD,A481,Legionnaires' disease,TRUE
GOLD,A482,Nonpneumonic Legionnaires' disease [Pontiac fever],TRUE
GOLD,A483,Toxic shock syndrome,TRUE
GOLD,A484,Brazilian purpuric fever,TRUE
GOLD,A4851,Infant botulism,TRUE
GOLD,A4852,Wound botulism,TRUE
GOLD,A488,Other specified bacterial diseases,TRUE
GOLD,A4901,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",TRUE
GOLD,A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site",TRUE
GOLD,A491,"Streptococcal infection, unspecified site",TRUE
GOLD,A492,"Hemophilus influenzae infection, unspecified site",TRUE
GOLD,A493,"Mycoplasma infection, unspecified site",TRUE
GOLD,A498,Other bacterial infections of unspecified site,TRUE
GOLD,A499,"Bacterial infection, unspecified",TRUE
GOLD,A5001,Early congenital syphilitic oculopathy,TRUE
GOLD,A5002,Early congenital syphilitic osteochondropathy,TRUE
GOLD,A5003,Early congenital syphilitic pharyngitis,TRUE
GOLD,A5004,Early congenital syphilitic pneumonia,TRUE
GOLD,A5005,Early congenital syphilitic rhinitis,TRUE
GOLD,A5006,Early cutaneous congenital syphilis,TRUE
GOLD,A5007,Early mucocutaneous congenital syphilis,TRUE
GOLD,A5008,Early visceral congenital syphilis,TRUE
GOLD,A5009,"Other early congenital syphilis, symptomatic",TRUE
GOLD,A501,"Early congenital syphilis, latent",TRUE
GOLD,A502,"Early congenital syphilis, unspecified",TRUE
GOLD,A5030,"Late congenital syphilitic oculopathy, unspecified",TRUE
GOLD,A5031,Late congenital syphilitic interstitial keratitis,TRUE
GOLD,A5032,Late congenital syphilitic chorioretinitis,TRUE
GOLD,A5039,Other late congenital syphilitic oculopathy,TRUE
GOLD,A5040,"Late congenital neurosyphilis, unspecified",TRUE
GOLD,A5041,Late congenital syphilitic meningitis,TRUE
GOLD,A5042,Late congenital syphilitic encephalitis,TRUE
GOLD,A5043,Late congenital syphilitic polyneuropathy,TRUE
GOLD,A5044,Late congenital syphilitic optic nerve atrophy,TRUE
GOLD,A5045,Juvenile general paresis,TRUE
GOLD,A5049,Other late congenital neurosyphilis,TRUE
GOLD,A5051,Clutton's joints,TRUE
GOLD,A5052,Hutchinson's teeth,TRUE
GOLD,A5053,Hutchinson's triad,TRUE
GOLD,A5054,Late congenital cardiovascular syphilis,TRUE
GOLD,A5055,Late congenital syphilitic arthropathy,TRUE
GOLD,A5056,Late congenital syphilitic osteochondropathy,TRUE
GOLD,A5057,Syphilitic saddle nose,TRUE
GOLD,A5059,"Other late congenital syphilis, symptomatic",TRUE
GOLD,A506,"Late congenital syphilis, latent",TRUE
GOLD,A507,"Late congenital syphilis, unspecified",TRUE
GOLD,A509,"Congenital syphilis, unspecified",TRUE
GOLD,A510,Primary genital syphilis,TRUE
GOLD,A511,Primary anal syphilis,TRUE
GOLD,A512,Primary syphilis of other sites,TRUE
